abalone,[ˌæbəˈloʊni],n.[动]鲍鱼(软体动物)
inaugurate,[ɪˈnɔːɡjəreɪt],"vt.开始,举行就职典礼,开创,"
inborn,[ˌɪnˈbɔːrn],"a.天生的,生来的"
Inca,,n.印加人(古代秘鲁土著人)
incandescent,[ˌɪnkənˈdesnt],"a.遇热发光的, 白炽的"
incapable,[ɪnˈkeɪpəbl],"a.无能力的,不胜任的"
incapacitated,,vt.使不能
incentive,[ɪnˈsentɪv],"a.刺激的, 鼓励的.n.动机"
inception,[ɪnˈsepʃn],"n.起初, 获得学位"
incessant,[ɪnˈsesnt],"a.不断的,  无尽的,连续的"
incessantly,[ɪnˈsesntli],ad.不间断地
inch,[ɪntʃ],n.英寸.v.(使)缓慢地移动
inchworm,['ɪntʃwɝm],n.[昆] 尺蠖
incident,[ˈɪnsɪdənt],"n.事件.a.附带的, 易于发生的"
incidental,[ˌɪnsɪˈdentl],"a.偶然的,附带的"
incinerate,[ɪnˈsɪnəreɪt],"v.把...烧成灰,烧弃,火化"
incipient,[ɪnˈsɪpiənt],"a.初期的,初始的"
incise,[ɪnˈsaɪz],"vt.切入, 切割"
inclination,[ˌɪnklɪˈneɪʃn],"n.倾斜, 弯曲,倾向, 意愿"
incline,[ɪnˈklaɪn],"v.(使)倾斜,倾向于,.n.斜面"
include,[ɪnˈkluːd],"vt.包括,包含"
inclusion,[ɪnˈkluːʒn],n.包含
inclusive,[ɪnˈkluːsɪv],"a.包含 ... 在内的,包罗广泛的"
income,"[ˈɪnkʌm,ˈɪnkəm]","n.收入,收益,"
incoming,[ˈɪnkʌmɪŋ],"a.引入的,正来临的, 新任的 "
incompatibility,[ˌɪnkəmˌpætəˈbɪləti],"n.不两立, 不相容"
incompatible,[ˌɪnkəmˈpætəbl],".a.不相容的 ,矛盾的"
incomplete,[ˌɪnkəmˈpliːt],"a.不完全的, 不完整的"
incompletely,,ad.不完全地
incomprehensible,[ɪnˌkɑːmprɪˈhensəbl],"a.费解的,不可思议的"
inconclusive,[ˌɪnkənˈkluːsɪv],"a.非决定性的,不确定的"
incongruity,[ˌɪnkənˈɡruːəti],"n.不调和的, 不适宜的"
incongruous,[ɪnˈkɑːŋɡruəs],"a.不协调的,不一致的,不和谐的"
inconsistency,[ˌɪnkənˈsɪstənsi],"n.矛盾,不调和"
inconspicuous,[ˌɪnkənˈspɪkjuəs],"a.不显眼的,不引人注意的"
inconspicuously,,"ad.难以觉察地, 不显著地"
inconvenient,[ˌɪnkənˈviːniənt],"a.不便的,打扰的"
incorporate,[ɪnˈkɔːrpəreɪt],"v.合并,组成公司"
incorporate,[ɪnˈkɔːrpəreɪt],"v.合并, 组成公司 .a.合并的"
incorporation,[ɪnˌkɔːrpəˈreɪʃn],"n.合并,组建公司"
incorrect,[ˌɪnkəˈrekt],"a.不正确的,错误的"
incorrectly,[ˌɪnkəˈrektli],"ad.错误地,不适当地"
increase,[ɪnˈkris; ˈɪnˌkris],"n./v.增加,增长,提高"
increasingly,[ɪnˈkriːsɪŋli],"ad.日益,愈加"
incredible,[ɪnˈkredəbl],"a.不可信的,不可思议的"
incubate,[ˈɪŋkjubeɪt],"v.孵卵. 逐渐发展,酝酿, (传染病)潜伏"
incubation,[ˌɪŋkjuˈbeɪʃn],"n.孵化, 熟虑,潜伏期"
incubator,[ˈɪŋkjubeɪtər],"n.培养的器具, 孵卵器"
incur,[ɪnˈkɜːr],"v.招致,引发,蒙受"
incursion,[ɪnˈkɜːrʒn],"n.侵犯,入侵"
indebted,[ɪnˈdetɪd],"a.受惠的, 负债的,感激的"
indecipherable,[ˌɪndɪˈsaɪfrəbl],"a.无法解释的,难辨认的"
indeed,[ɪnˈdiːd],"ad.真正地,的确,事实上"
indefinite,[ɪnˈdefɪnət],"a.不明确的,含糊的"
indefinitely,[ɪnˈdefɪnətli],ad.不确定地
independence,[ˌɪndɪˈpendəns],"n.独立,自主"
independent,[ˌɪndɪˈpendənt],"n.中立派,无党派者 ,独立的"
indeterminate,[ˌɪndɪˈtɜːrmɪnət],"a.不确定的, 含混的"
index,[ˈɪndeks],"n.索引, 指数"
India,[ˈɪndiə],n.印度
Indian,[ˈɪndiən],n.印度(人)
Indiana,[ˌɪndiˈænə],n.印地安那州
indicate,[ˈɪndɪkeɪt],"v.指出,象征,表明,预示"
indication,[ˌɪndɪˈkeɪʃn],"n.指示,表示,迹象"
indicator,[ˈɪndɪkeɪtər],"n.指示器,压力计"
indifference,[ɪnˈdɪfrəns],"n.不关心,无兴趣"
indifferent,[ɪnˈdɪfrənt],"a.漠不关心的,中性的"
indigenous,[ɪnˈdɪdʒənəs],"a.本地的, 天生的"
indigestible,[ˌɪndɪˈdʒestəbl],"a.难消化的,难理解的"
indigo,[ˈɪndɪɡoʊ],"n.靛, 靛青"
indirect,"[ˌɪndəˈrekt,ˌɪndaɪˈrekt]","a.间接的,迂回的"
indirectly,"[ˌɪndəˈrektli,ˌɪndaɪˈrektli]",ad.间接地
indiscernible,[ˌɪndɪˈsɜːrnəbl],"a.看不清的,难识别的"
indispensable,[ˌɪndɪˈspensəbl],n.不可缺少之物.a.不可缺少的
indium,[ˈɪndiəm],n.[化]铟
individual,[ˌɪndɪˈvɪdʒuəl],"n.个人,个体.a.个别的"
individualism,[ˌɪndɪˈvɪdʒuəlɪzəm],"n.个人主义, 利己主义"
individualistic,[ˌɪndɪˌvɪdʒuəˈlɪstɪk],a.个人主义的
individuality,[ˌɪndɪˌvɪdʒuˈæləti],"n.个性,(通常用复数)个人的嗜好"
individually,[ˌɪndɪˈvɪdʒuəli],"ad.个别地,单独地"
indo-european,[ˌɪndoʊ jʊrəˈpiːən],"n.印欧语系, 说印欧语的人"
Indonesia,[ˌɪndəˈniːʒə],n.印尼(东南亚岛国)
indoor,[ˈɪndɔːr],"a.户内的, 室内的"
induce,[ɪnˈduːs],"vt.促使,引诱"
inducement,[ɪnˈduːsmənt],"n.诱因, 刺激物"
inducible,,"a.可诱导的,可导致的"
induct,[ɪnˈdʌkt],"v.感应,引导"
indulge,[ɪnˈdʌldʒ],"v.纵容,沉溺"
Indus,,n.印度河（印度西北部的河流） 
industrial,[ɪnˈdʌstriəl],"a.工业的,产业的"
industrialism,[ɪnˈdʌstriəlɪzəm],"n.产业主义,工业制度"
industrialist,[ɪnˈdʌstriəlɪst],"n.工业家, 实业家,"
industrialization,,"n.工业化,产业化"
industrialize,[ɪnˈdʌstriəlaɪz],vt.使工业化 
industrially,,ad.企业[工业]地
industrious,[ɪnˈdʌstriəs],"a.勤劳的, 勤奋的"
industry,[ˈɪndəstri],"n.工业,产业"
inedible,[ɪnˈedəbl],"a.不能吃的,不宜食用的"
ineffective,[ˌɪnɪˈfektɪv],"a.无效的, (指人)工作效率低的"
inefficient,[ˌɪnɪˈfɪʃnt],"a.效率低的,效率差的"
inequality,[ˌɪnɪˈkwɑːləti],"n.不平等, 不平均"
inequality,[ˌɪnɪˈkwɑːləti],"n.不等式,不均等,不平衡"
inevitable,[ɪnˈevɪtəbl],"a.不可避免的, 必然的"
inevitably,[ɪnˈevɪtəbli],"ad.不可避免地,必然地"
inexpensive,[ˌɪnɪkˈspensɪv],"a.廉价的,便宜的"
inexplicable,[ˌɪnɪkˈsplɪkəbl],"a.无法解释的,难理解的"
inextricably,"[ˌɪnɪkˈstrɪkəbli,ɪnˈekstrɪkəbli]","ad.分不开地, 无法摆脱地"
infancy,[ˈɪnfənsi],"n.幼年,初期"
infant,[ˈɪnfənt],"n.婴儿adj. 婴儿的,幼稚的,初期的"
infantile,[ˈɪnfəntaɪl],"a.幼稚的,幼儿的"
infect,[ɪnˈfekt],"vt.[医] 传染, 感染"
infection,[ɪnˈfekʃn],"n.传染病, 影响, "
infer,[ɪnˈfɜːr],"v.推断,推论"
inference,[ˈɪnfərəns],"n.推论,推断,推理"
inferential,"[,ɪnfə'rɛnʃəl]","a.推理的, 推论的"
inferior,[ɪnˈfɪriər],"a.下等的, 下级的,自卑的"
inferiority,[ɪnˌfɪriˈɔːrəti],"n.自卑, 次等"
infertile,[ɪnˈfɜːrtl],"a.贫瘠的, 不能生育的"
infest,[ɪnˈfest],"vt.骚扰,大批滋生"
infiltration,[ˌɪnfɪlˈtreɪʃn],n.渗透
infinite,[ˈɪnfɪnət],"a.无限的,无穷的"
infinitesimally,,ad.极小地
inflation,[ɪnˈfleɪʃn],"n.通货膨胀, 膨胀"
inflection,[ɪnˈflekʃn],"n.变形,音调变化"
inflexible,[ɪnˈfleksəbl],"a.不可弯曲的, 僵硬的"
inflexibly,,"ad.不弯曲地, 不屈地"
inflow,[ˈɪnfloʊ],"n.流入, 流入物"
influence,[ˈɪnfluəns],n.影响(力).v.影响
influential,[ˌɪnfluˈenʃl],"a.有影响的, 有势力的"
influx,[ˈɪnflʌks],"n.流入,汇集,河流的汇集处"
inform,[ɪnˈfɔːrm],"v.通知, 告诉,报告"
informal,[ɪnˈfɔːrml],"a.不正式的,不拘礼节的"
informant,[ɪnˈfɔːrmənt],"n.通知者, 告密者"
information,[ˌɪnfərˈmeɪʃn],"n.信息,消息,通知"
informative,[ɪnˈfɔːrmətɪv],"a.提供消息的, 情报的,见闻广博的"
infrastructure,[ˈɪnfrəstrʌktʃər],"n.下部构造,基础下部组织"
infrequent,[ɪnˈfriːkwənt],"a.不频发的,不常见的,珍贵的"
infrequently,[ɪnˈfriːkwəntli],"ad.罕见地, 稀少的"
infusion,[ɪnˈfjuːʒn],n.灌输
ingenious,[ɪnˈdʒiːniəs],"a.设计独特的,巧妙的"
ingeniously,,"ad.贤明地,有才能地"
ingenuity,[ˌɪndʒəˈnuːəti],"n.机灵, 独创性"
ingoing,"['ɪn,goɪŋ]","a.进入的.n.进入,迁就"
ingot,[ˈɪŋɡət],"n.[冶]锭铁, 工业纯铁"
ingredient,[ɪnˈɡriːdiənt],"n.成分, 因素"
inhabit,[ɪnˈhæbɪt],"vt.居住于,栖息"
inhabitant,[ɪnˈhæbɪtənt],"n.居民,居住者"
inherent,"[ɪnˈherənt,ɪnˈhɪrənt]","a.固有的,与生俱来的"
inherit,[ɪnˈherɪt],vt.继承
inhibit,[ɪnˈhɪbɪt],"vt.阻止,妨碍,抑制"
inhibition,"[ˌɪnhɪˈbɪʃn,ˌɪnɪˈbɪʃn]","n.禁止, 阻止,抑制,压抑"
inhospitable,[ˌɪnhɑːˈspɪtəbl],"a.不好客的,不适于居住的"
initial,[ɪˈnɪʃl],"a.最初的,初始的 ,字首的"
initiate,[ɪˈnɪʃieɪt],"v.开始,发起.n.新加入者"
inject,[ɪnˈdʒekt],"vt.注射, 注入"
injure,[ˈɪndʒər],"vt.伤害,损害"
injury,[ˈɪndʒəri],"n.伤害,侮辱"
ink,[ɪŋk],n.墨水
inland,"[,ɪn'lænd]","a.内陆的,国内的"
inn,[ɪn],n.(尤指乡村或公路边的) 旅馆.vi.住旅馆
innate,[ɪˈneɪt],"a.先天的, 天生的,固有的"
inner,[ˈɪnər],"a.内部的,里面的,内心的"
innermost,[ˈɪnərmoʊst],"a.最里面的, 内心的"
innkeeper,[ˈɪnkiːpər],n.旅馆主人
innocence,[ˈɪnəsns],"n.清白,天真无邪"
innocent,[ˈɪnəsnt],"a.清白的, 无罪的, 天真的,无辜的"
innovation,[ˌɪnəˈveɪʃn],"n.改革,创新"
innovative,[ˈɪnəveɪtɪv],"a.创新的, 革新的"
innovator,[ˈɪnəveɪtər],"n.改革者, 革新者"
innumerable,[ɪˈnuːmərəbl],"a.无数的,数不清的"
inoffensive,[ˌɪnəˈfensɪv],"a.不触犯人的,无害的"
inorganic,[ˌɪnɔːrˈɡænɪk],"a.无机的, 非自然生长的"
input,[ˈɪnpʊt],"n.输入,投入"
inquire,[ɪn'kwaɪr],"v.询问,  查究,调查"
insanity,[ɪnˈsænəti],"n.精神错乱, 疯狂, 愚顽"
insatiable,[ɪnˈseɪʃəbl],"a.不知足的, 贪求无厌的"
inscribe,[ɪnˈskraɪb],vt.题写
inscription,[ɪnˈskrɪpʃn],"n.题字, 碑铭"
insect,[ˈɪnsekt],"n.昆虫,虫,卑鄙的人"
insecure,[ˌɪnsɪˈkjʊr],"a.不安全的,不稳固的,缺乏安全感的"
insensitivity,[ɪnˌsensəˈtɪvəti],"n.感觉迟钝,不灵敏性"
insert,[ɪnˈsɜːrt],"vt.插入,嵌入 "
inside,[ˌɪnˈsaɪd],"ad./prep.在…里面,少于.n./a.里面(的)"
insight,[ˈɪnsaɪt],"n.洞察力, 见识"
insightful,[ɪnˈsaɪtfl],"a.有深刻见解的, 富有洞察力的"
insignificant,[ˌɪnsɪɡˈnɪfɪkənt],"a.无关紧要的,  可忽略的"
insist,[ɪnˈsɪst],"v.坚持, 强调"
insistence,[ɪnˈsɪstəns],"n.坚持, 坚决主张"
insoluble,[ɪnˈsɑːljəbl],"a.不能溶解的, 不能解决的"
inspect,[ɪnˈspekt],"v.检查, 视察 ,检阅"
inspection,[ɪnˈspekʃn],"n.检查, 视察"
inspector,[ɪnˈspektər],"n.检查员, 巡视员"
inspiration,[ˌɪnspəˈreɪʃn],"n.灵感,鼓舞"
inspire,[ɪnˈspaɪər],"vt.鼓舞,激起,给…以灵感"
instability,[ˌɪnstəˈbɪləti],n.不稳定(性)
install,[ɪnˈstɔːl],"vt.安装, 安置,任命"
installation,[ˌɪnstəˈleɪʃn],"n.安装, 装置"
instance,[ˈɪnstəns],"n.实例,建议.vt.引证"
instantaneous,[ˌɪnstənˈteɪniəs],"a.瞬间的,即刻的"
instantaneously,[ˌɪnstənˈteɪniəsli],"ad.即刻,突如其来地"
instantly,[ˈɪnstəntli],"ad.立即地, 即刻地conj. 一…就…"
instead,[ɪnˈsted],"ad.代替,反而"
instigate,[ˈɪnstɪɡeɪt],"v.鼓动,怂恿,教唆"
instinct,[ˈɪnstɪŋkt],"n.本能,直觉,天性"
instinctive,[ɪnˈstɪŋktɪv],"a.本能的,直觉的,天生的"
instinctively,[ɪnˈstɪŋktɪvli],ad.本能地
institute,[ˈɪnstɪtuːt],"n.学院.vt.建立,设立"
institution,[ˌɪnstɪˈtuːʃn],"n.公共机构,协会,制度"
instruct,[ɪnˈstrʌkt],"vt.教导, 指示"
instruction,[ɪnˈstrʌkʃn],"n.命令,指示,用法说明"
instructive,[ɪnˈstrʌktɪv],"a.有益的, 教育性的"
instructor,[ɪnˈstrʌktər],"n.教师,指导书"
instrument,[ˈɪnstrəmənt],"n.仪器,工具,手段"
instrumentalist,[ˌɪnstrəˈmentəlɪst],n.乐器演奏家
insufficient,[ˌɪnsəˈfɪʃnt],a.不足的
insulate,[ˈɪnsəleɪt],"vt.使绝缘, 隔离"
insulation,[ˌɪnsəˈleɪʃn],"n.绝缘,隔离"
insulator,[ˈɪnsəleɪtər],"n.绝缘体, 绝热器"
insult,[ɪn'sʌlt],"n./vt.侮辱, 辱骂"
insure,[ɪnˈʃʊr],"v.给...保险,确保"
insurmountable,[ˌɪnsərˈmaʊntəbl],"a.不能克服的,不能超越的"
intact,[ɪnˈtækt],"a.完好无缺的, 未经触碰的"
intaglio,[ɪn'tæljo],"n.凹雕, 阴雕.vt.凹雕"
integral,"[ˈɪntɪɡrəl,ɪnˈteɡrəl]","a.完整的, 整体的"
integrate,[ˈɪntɪɡreɪt],"v.使成整体, 结合"
integration,[ˌɪntɪˈɡreɪʃn],"n.综合,整合"
integrity,[ɪnˈteɡrəti],"n.正直, 诚实, 完整,廉正"
intellectual,[ˌɪntəˈlektʃuəl],"a.智力的, 有智力的n.知识分子"
intellectually,[ˌɪntəˈlektʃuəli],"ad.理智地, 与智力(或思维)有关地"
intelligence,[ɪnˈtelɪdʒəns],"n.智力, 聪明,理解力,情报"
intelligent,[ɪnˈtelɪdʒənt],"a.聪明的, 智能的"
intelligently,[ɪnˈtelɪdʒəntli],"ad.聪明地,理智地"
intelligible,[ɪnˈtelɪdʒəbl],"a.可理解的,明了的"
intend,[ɪnˈtend],"vt.想要, 打算"
intense,[ɪnˈtens],"a.强烈的,激烈的,热情的"
intensely,[ɪnˈtensli],"ad.激烈地,热切地"
intensify,[ɪnˈtensɪfaɪ],"v.加强,强化"
intensity,[ɪnˈtensəti],"n.强度,强烈
"
intensive,[ɪnˈtensɪv],"a.强烈的, 精深的"
intensively,[ɪnˈtensɪvli],"ad.加强地, 集中地"
intent,[ɪnˈtent],"n.意图, 目的.a.专心的,急切的"
intention,[ɪnˈtenʃn],"n.意图, 目的"
intentional,[ɪnˈtenʃənl],"a.故意的,策划的,蓄意的"
intentionally,[ɪnˈtenʃənəli],"ad.有意地,故意地"
intently,[ɪnˈtentli],"ad.专心地, 集中地"
inter,[ɪnˈtɜːr],vt.埋葬
interact,[ˌɪntərˈækt],"vi.互相作用,互相影响"
interaction,[ˌɪntərˈækʃn],n.交互作用
interactive,[ˌɪntərˈæktɪv],"a.交互式的,相互作用的"
interchangeable,[ˌɪntərˈtʃeɪndʒəbl],"a.可互换的,可交换的"
intercity,[ˌɪntərˈsɪti],a.城市间的
intercommunity,"[,ɪntɚkə'mjʊnəti]","n.共同性, 共有"
interconnect,[ˌɪntərkəˈnekt],vt.使互相连接
interdependence,[ˌɪntərdɪˈpendəns],n.互相依赖
interdependent,[ˌɪntərdɪˈpendənt],"a.相互依赖的,互助的"
interest,"[ˈɪntrəst,ˈɪntrest]","n.兴趣,利息(率),利益.vt.使感兴趣"
interestingly,"[ˈɪntrəstɪŋli,ˈɪntrestɪŋli]",ad.有趣地
interfere,[ˌɪntərˈfɪr],"vi.干涉,妨碍"
interference,[ˌɪntərˈfɪrəns],"n.冲突, 干涉,干扰"
interferometer,"[,ɪntɚfɪ'rɑmətɚ]",n.干涉计
intergalactic,[ˌɪntərɡəˈlæktɪk],"a.银河间的, 星际间的"
interglacial,"[,ɪntɚ'gleʃəl]",a.间冰期的
interior,[ɪnˈtɪriər],"a.内部的,本质的"
interject,[ˌɪntərˈdʒekt],"vt.插嘴, 突然插入"
interlock,[ˌɪntərˈlɑːk],"v.互锁,连锁"
intermediate,[ˌɪntərˈmiːdiət],a.中间的.n.媒介
intermittent,[ˌɪntərˈmɪtənt],"a.间歇的,断断续续的"
intermittently,[ˌɪntərˈmɪtəntli],ad.间歇地
internal,[ɪnˈtɜːrnl],"a.内在的,国内的"
internally,[ɪnˈtɜːrnəli],"ad.内部地, 国内地"
international,[ˌɪntərˈnæʃnəl],"a.国际的,世界的 "
internationally,[ˌɪntərˈnæʃnəli],"ad.国际性地, 在国际间"
internet,[ˈɪntərnet],"n.国际互联网,因特网"
interpersonal,[ˌɪntərˈpɜːrsənl],"a.人与人之间的, 人际关系的"
interplanetary,[ˌɪntərˈplænəteri],"a.太阳系内的,行星间的"
interplay,[ˈɪntərpleɪ],"n.相互影响,相互作用"
interpret,[ɪnˈtɜːrprət],"v.解释,说明,口译"
interpretation,[ɪnˌtɜːrprəˈteɪʃn],"n.解释,阐明"
interrelationship,[ˌɪntərɪˈleɪʃnʃɪp],n.相互关系
interrupt,[ˌɪntəˈrʌpt],"vt.打断, 妨碍, 插嘴  
"
interruption,[ˌɪntəˈrʌpʃn],"n.中断, 打断,障碍物"
intersect,[ˌɪntərˈsekt],"v.贯穿, 交叉"
intersection,[ˌɪntərˈsekʃn],"n.交集, 交叉点,十字路口"
Interstate,[ˈɪntərsteɪt],a.州际的
interstellar,[ˌɪntərˈstelər],a.星际的
interstitial,[ˌɪntərˈstɪʃl],"a.空隙的, 裂缝的,"
intertidal,"[,ɪntɚ'taɪdl]",n./a.潮间带(的) 
intertwine,[ˌɪntərˈtwaɪn],"v.(使)纠缠,(使)缠绕"
interval,[ˈɪntərvl],"n.间隔,距离"
intervene,[ˌɪntərˈviːn],"vi.干涉,干预"
intervention,[ˌɪntərˈvenʃn],"n.干涉,介入"
interview,[ˈɪntərvjuː],"n.接见,会见,面谈"
interviewer,[ˈɪntərvjuːər],"n.会见者,（面试时的）主考官"
intestinal,"[ɪnˈtestɪnl,ˌɪnteˈstaɪnl]",a.肠的
intestine,[ɪnˈtestɪn],"a.内部的,国内的 .n.肠"
intimacy,[ˈɪntɪməsi],"n.亲密, 隐私"
intimate,[ˈɪntɪmət],"a.亲密的,私人的"
intimately,[ˈɪntəmɪtlɪ],"ad.密切地,亲密地,私下地"
intimidate,[ɪnˈtɪmɪdeɪt],"v.胁迫,恐吓,威胁"
into,"[ˈɪntə,ˈɪntu,ˈɪntuː]","prep.到...里,进入"
intolerant,[ɪnˈtɑːlərənt],"a.不宽容的, 偏狭的"
intonation,[ˌɪntəˈneɪʃn],"n.语调, 声调"
intoxication,[ɪnˌtɑːksɪˈkeɪʃn],"n.陶醉,中毒,喝醉"
intricate,[ˈɪntrɪkət],"a.复杂的,难懂的"
intricately,[ˈɪntrɪkətli],"ad.杂乱地,  复杂地"
intrigue,[ɪnˈtriːɡ],"v.激起兴趣,耍阴谋.n.阴谋,密谋"
intrinsic,"[ɪnˈtrɪnzɪk,ɪnˈtrɪnsɪk]","a.内在的, 固有的"
intrinsically,"[ɪnˈtrɪnzɪkli,ɪnˈtrɪnsɪkli]","ad.内在地, 固有地"
introduce,[ˌɪntrəˈduːs],"vt.介绍,引进,采用,提出"
introduction,[ˌɪntrəˈdʌkʃn],"n.介绍,传入"
introductory,[ˌɪntrəˈdʌktəri],"a.引导的,介绍的"
introspective,[ˌɪntrəˈspektɪv],a.反省的
intrude,[ɪnˈtruːd],"v.侵入,强挤入,打扰"
intruder,[ɪnˈtruːdər],"n.入侵者,干扰者"
intrusion,[ɪnˈtruːʒn],"n.闯入, 侵扰"
intuitive,[ɪnˈtuːɪtɪv],"a.有直觉力的,直觉到的"
Inuit,"[ˈɪnjuɪt,ˈɪnuɪt]","n.因纽特人,  因纽特语"
inundate,[ˈɪnʌndeɪt],v.淹没
invade,[ɪnˈveɪd],"vt.侵略,侵入"
invader,[ɪnˈveɪdər],n.侵略者
invariable,[ɪnˈveriəbl],"n./a.不变的, 永恒的 "
invariably,[ɪnˈveriəbli],"ad.不变地,始终如一地"
invasion,[ɪnˈveɪʒn],n.入侵
invent,[ɪnˈvent],"v.发明,创造 "
invention,[ɪnˈvenʃn],"n.发明,创造"
inventor,[ɪnˈventər],"n.发明家,创造者"
inventory,[ˈɪnvəntɔːri],"n.详细目录, 存货(清单) "
invertebrate,[ɪnˈvɜːrtɪbrət],"a./n.无脊椎的,无骨气的人"
invest,[ɪnˈvest],"v.投资,投入(时间等),授予,赋予     "
investigate,[ɪnˈvestɪɡeɪt],"v.调查, 研究"
investigate,[ɪnˈvestɪɡeɪt],"v.调查, 研究"
investigation,[ɪnˌvestɪˈɡeɪʃn],"n.调查,研究"
investigator,[ɪnˈvestɪɡeɪtər],n.调查人
investment,[ɪnˈvestmənt],"n.投资,可获利的东西"
investor,[ɪnˈvestər],n.投资者
invigorate,[ɪnˈvɪɡəreɪt],"v.鼓舞,增添活力"
invisible,[ɪnˈvɪzəbl],"a.看不见的, 无形的"
invisibly,[ɪnˈvɪzəbli],"ad.看不见地, 看不出地"
invite,[ɪnˈvaɪt],"vt.邀请,征求"
invoke,[ɪnˈvoʊk],vt.恳求
involve,[ɪnˈvɑːlv],"vt.包含,牵涉"
involvement,[ɪnˈvɑːlvmənt],"n.连累, 包含"
inward,[ˈɪnwərd],"ad.向内,在内.a.向内的,内在的"
iodine,[ˈaɪədaɪn],"n.碘, 碘酒"
ion,"[ˈaɪən,ˈaɪɑːn]",n.离子
ionize,[ˈaɪənaɪz],"v.使离子化 ,电离"
Iraq,"[ɪˈrɑːk,ɪˈræk]",n.伊拉克共和国
iridescent,[ˌɪrɪˈdesnt],"a.闪光的,现晕光的"
iridium,[ɪˈrɪdiəm],n.[化]铱
Irish,[ˈaɪrɪʃ],"n./a.爱尔兰人(的),爱尔兰语（的）"
iron,[ˈaɪərn],"n.熨斗,铁.v.熨,烫"
ironically,[aɪˈrɑːnɪkli],"ad.具有讽刺意味地,嘲讽地"
iron-rich,,n.富铁
ironwork,[ˈaɪərnwɜːrk],n.铁制品
irony,[ˈaɪrəni],"n.反话, 讽刺"
Iroquois,,n.易洛魁族人
irrational,[ɪˈræʃənl],"a.无理性的, 失去理性的.n.无理数"
irrationally,[ɪˈræʃnəli],"ad.无理性地,不合理地"
irregular,[ɪˈreɡjələr],"a.不规则的,无规律的,不合法的"
irregularly,[ɪˈreɡjələrli],"ad.不规则地,不整齐地"
irrelevant,[ɪˈreləvənt],"a.不相干的,不切题的"
irreparable,[ɪˈrepərəbl],"a.无法修复的,不能挽回的"
irresistible,[ˌɪrɪˈzɪstəbl],"a.不可抵抗的,不能压制的"
irresponsible,[ˌɪrɪˈspɑːnsəbl],"a.不负责任的, 不可靠的"
irresponsibly,,"ad.不负责任地,不可靠地"
irreverence,[ɪˈrevərəns],"n.不敬,非礼"
irreverent,[ɪˈrevərənt],"a.不敬的,  无礼的"
irreversible,[ˌɪrɪˈvɜːrsəbl],"a.不可逆的,不能取消的,不可挽回的"
irrigate,[ˈɪrɪɡeɪt],v.灌溉
irrigation,[ˌɪrɪˈɡeɪʃn],"n.灌溉,冲洗"
irritability,[ˌɪrɪtəˈbɪləti],"n.过敏性, 兴奋性,易怒"
irritate,[ˈɪrɪteɪt],"v.激怒, 使急躁"
island,[ˈaɪlənd],"n.岛屿,岛状物"
islander,[ˈaɪləndər],n.岛上居民
Isle,[aɪl],n.( 小)岛
isolate,[ˈaɪsəleɪt],"vt.使隔离,使孤立"
isolation,[ˌaɪsəˈleɪʃn],"n.隔离,孤立"
isotope,[ˈaɪsətoʊp],n.同位素
isotopic,,"a.同位素的,合痕的"
Israel,[ˈɪzreɪl],n.[地名] 以色列
issue,[ˈɪʃuː],"n./v.问题,分发,颁布, 发行"
it,[ɪt],"pron.它,这,那"
Italian,[ɪˈtæliən],"n./a.意大利人(的), 意大利语（的） "
Italy,[ˈɪtəli],n.意大利(欧洲南部国家)
item,[ˈaɪtəm],"n.项目,条款"
its,[ɪts],pron.它的
itself,[ɪtˈself],pron.它自己
jacket,[ˈdʒækɪt],"n.夹克,护封.vt.给...穿夹克"
jade,[dʒeɪd],"n.玉,翡翠"
January,[ˈdʒænjueri],n.一月(略作Jan)
Japan,[dʒəˈpæn],n.日本
Japanese,[ˌdʒæpəˈniːz],"n./a.日本人(的), 日语（的）"
jar,[dʒɑːr],"n.罐子,广口瓶.v.刺激,震动"
jaw,[dʒɔː],"n.颚,下巴"
jawbone,[ˈdʒɔːboʊn],"n.颚骨, 下颚骨, 信用.v.赊买"
jay,[dʒeɪ],"n.松鸦,爱唠叨的人;傻瓜"
jazz,[dʒæz],n.爵士乐
jealousy,[ˈdʒeləsi],"n.嫉妒,猜疑"
jean,[dʒɪn],n.牛仔裤
jellyfish,[ˈdʒelifɪʃ],n.水母
jet,[dʒet],n.喷气式飞机
jewel,[ˈdʒuːəl],n.宝石
jewellery,[ˈdʒuːəlri],n.[总称]珠宝
jewelry,['dʒʊəlri],n.珠宝
Jewett,,n.朱厄特（姓氏）
jibe,[dʒaɪb],"v.嘲笑, 与...一致, 使转向 "
job,[dʒɑːb],"n.工作,职业"
jobber,[ˈdʒɑːbər],"n.临时工, 批发商"
join,[dʒɔɪn],"v.参加,加入,连接"
joiner,[ˈdʒɔɪnər],"n.工匠,接合者"
joinery,[ˈdʒɔɪnəri],n.木工职业
joint,[dʒɔɪnt],".n.关节,接头"
joint-stock,,"a.合资的, 股份组织的"
joke,[dʒoʊk],"n.笑话, 玩笑 "
jolt,[dʒoʊlt],"v./.n.(使)颠簸,震动"
journal,[ˈdʒɜːrnl],"n.定期刊物, 杂志,日记"
journalism,[ˈdʒɜːrnəlɪzəm],"n.新闻业,新闻工作"
journalist,[ˈdʒɜːrnəlɪst],"n.新闻记者,从事新闻杂志业的人"
journey,[ˈdʒɜːrni],n.旅行
